Data Scoring Grid process on 25/11/2021 12:11:58

True,Data Set,Subject Name,Serial Number,Details,Validated Data?,Log Diary,Worn on Wrist?,Total Sedentary Bouts,Total Length of Sedentary Bouts,Average Length of Sedentary Bouts,Max Length of Sedentary Bouts,Min Length of Sedentary Bouts,Daily Average of Sedentary Bouts,Total Sedentary Breaks,Total Length of Sedentary Breaks,Average Length of Sedentary Breaks,Max Length of Sedentary Breaks,Min Length of Sedentary Breaks,Daily Average of Sedentary Breaks,Total Freedson (1998) Bouts,Total Length of Freedson (1998) Bouts,Average Length of Freedson (1998) Bouts,Max Length of Freedson (1998) Bouts,Min Length of Freedson (1998) Bouts,Total Counts in Freedson (1998) Bouts,Time in Sedentary,Time in Light,Time in Moderate,Time in Vigorous,% in Sedentary,% in Light,% in Moderate,% in Vigorous,Total MVPA,% in MVPA,Average MVPA Per Day,Axis 1 Counts,Axis 2 Counts,Axis 3 Counts,Axis 1 Average Counts,Axis 2 Average Counts,Axis 3 Average Counts,Axis 1 Max Counts,Axis 2 Max Counts,Axis 3 Max Counts,Axis 1 CPM,Axis 2 CPM,Axis 3 CPM,Vector Magnitude Counts,Vector Magnitude Average Counts,Vector Magnitude Max Counts,Vector Magnitude CPM,Steps Counts,Steps Average Counts,Steps Max Counts,Steps Per Minute,Lux Average Counts,Lux Max Counts,Number of Epochs,Time,Calendar Days
True,OBP_001_EVDH15sec.agd,OBP_001_EVDH,MOS2D47160126,Details...,Manual (25/11/2021),None,False,156,1D 9H 35M 0S,12M 55S,57M 45S,5M 0S,4H 11M 52S,155,5D 6H 18M 15S,48M 53S,14H 20M 15S,0S,15H 47M 16S,2,22M 15S,11M 7S,11M 15S,11M 0S,68415,2D 6H 49M 15S,1D 0H 24M 15S,3H 43M 0S,1H 4M 0S,65.26%,29.05%,4.42%,1.27%,4H 47M 0S,5.69%,35M 52S,2199611,2448988,3190084,109.1,121.5,158.2,2218,3730,2617,436.4,485.9,632.9,4583935.7,245.0,4524.5,909.4,46805,2.3,38,9.3,73.6,4891,20162,3D 12H 0M 30S,8
,Totals,,,,,,,156,1D 9H 35M 0S,12M 55S,57M 45S,5M 0S,4H 11M 52S,155,5D 6H 18M 15S,48M 53S,14H 20M 15S,0S,15H 47M 16S,2,22M 15S,11M 7S,11M 15S,11M 0S,68415,2D 6H 49M 15S,1D 0H 24M 15S,3H 43M 0S,1H 4M 0S,65.26%,29.05%,4.42%,1.27%,4H 47M 0S,5.69%,35M 52S,2199611,2448988,3190084,109.1,121.5,158.2,2218,3730,2617,436.4,485.9,632.9,4583935.7,245.0,4524.5,909.4,46805,2.3,38,9.3,73.6,4891,20162,3D 12H 0M 30S,8
